CCBASIC,CCUGPROF,HIGHDEG,CCSIZSET,CONTROL,CURROPER,INSTNM,INSTURL
16,11,4,16,1,1,Northern Arizona University,https://nau.edu/
9,1,2,2,1,1,Northland Pioneer College,www.npc.edu
20,7,4,6,2,1,Ottawa University-Phoenix,www.ottawa.edu
5,1,2,4,1,1,Phoenix College,www.phoenixcollege.edu
-2,-2,1,-2,3,0,Cortiva Institute-Scottsdale,www.cortiva.com/
1,1,2,5,1,1,Pima Community College,www.pima.edu
26,10,3,9,3,1,Pima Medical Institute-Tucson,pmi.edu
10,4,2,2,3,1,Pima Medical Institute-Albuquerque,pmi.edu
20,13,4,7,2,1,Prescott College,www.prescott.edu
11,4,2,2,3,1,Refrigeration School Inc,https://www.refrigerationschool.com
9,1,2,4,1,1,Rio Salado College,www.rio.maricopa.edu
-2,-2,1,-2,3,1,Roberto-Venn School of Luthiery,www.roberto-venn.com
3,1,2,3,1,1,Scottsdale Community College,www.scottsdalecc.edu
2,1,2,3,1,1,South Mountain Community College,www.southmountaincc.edu
22,11,3,7,2,1,Arizona Christian University,www.arizonachristian.edu
11,4,2,2,3,1,Universal Technical Institute of Arizona Inc,www.uti.edu
-2,-2,1,-2,3,1,Empire Beauty School-NW Phoenix,www.empire.edu
6,1,2,3,1,1,Yavapai College,www.YC.EDU
16,9,4,12,1,1,University of Arkansas at Little Rock,ualr.edu/www/
25,7,4,10,1,1,University of Arkansas for Medical Sciences,www.uams.edu
23,11,3,8,2,1,Arkansas Baptist College,www.arkansasbaptist.edu
-2,-2,1,-2,3,1,Arkansas Beauty School-Little Rock,arkbeautyschool.com
-2,-2,1,-2,3,1,Arkansas Beauty College,www.arkansasbeautycollegersvlar.com/
21,14,3,8,2,1,Lyon College,www.lyon.edu
-2,-2,1,-2,3,1,Arkansas College of Barbering and Hair Design,www.arkansascollegeofbarbering.com
-2,-2,1,-2,3,1,Arthur's Beauty College Inc-Fort Smith,www.arthursbeautycollege.com
15,15,4,16,1,1,University of Arkansas,https://www.uark.edu
22,10,4,11,1,1,University of Arkansas at Pine Bluff,www.uapb.edu
5,2,2,3,1,1,Arkansas State University-Beebe,www.asub.edu
16,9,4,13,1,1,Arkansas State University-Main Campus,www.astate.edu/
18,10,4,13,1,1,Arkansas Tech University,www.atu.edu
19,10,4,10,1,1,University of Arkansas at Monticello,www.uamont.edu/
-2,-2,1,-2,3,1,Arthur's Beauty College Inc-Jacksonville,arthursbeautycollege.com
10,4,2,2,2,1,Baptist Health College Little Rock,https://www.bhclr.edu
4,2,2,2,1,1,Black River Technical College,www.blackrivertech.edu
17,13,4,13,1,1,University of Central Arkansas,www.uca.edu
22,11,3,7,2,1,Central Baptist College,www.cbc.edu
6,1,2,2,1,1,Cossatot Community College of the University of Arkansas,www.cccua.edu/
22,10,3,8,2,1,Crowley's Ridge College,www.crc.edu/
-2,-2,1,-2,1,1,Crowley's Ridge Technical Institute,www.crti.tec.ar.us
3,1,2,2,1,1,East Arkansas Community College,https://WWW.EACC.EDU
