CCBASIC,CCUGPROF,HIGHDEG,CCSIZSET,CONTROL,CURROPER,INSTNM,INSTURL
21,14,4,11,2,1,Lake Forest College,www.lakeforest.edu
29,0,4,18,2,1,Lake Forest Graduate School of Management,www.lfgsm.edu
9,2,2,3,1,1,Lake Land College,www.lakelandcollege.edu/
26,11,3,6,2,1,Lakeview College of Nursing,www.lakeviewcol.edu
9,1,2,3,1,1,Lewis and Clark Community College,www.lc.edu
18,13,4,13,2,1,Lewis University,www.lewisu.edu
24,7,4,7,2,1,Lincoln Christian University,www.lincolnchristian.edu
23,7,3,7,2,1,Lincoln College,lincolncollege.edu
6,1,2,3,1,1,Lincoln Land Community College,www.llcc.edu
11,4,2,2,3,1,Lincoln College of Technology-Melrose Park,www.lincolntech.edu/campus/melrose-park-il
16,14,4,16,2,1,Loyola University Chicago,https://www.luc.edu
24,0,4,18,2,1,Lutheran School of Theology at Chicago,www.lstc.edu/
26,7,4,6,2,1,Trinity College of Nursing & Health Sciences,www.trinitycollegeqc.edu
-2,-2,1,-2,3,1,Steven Papageorge Hair Academy,stevenpapageorgehairacademy.com
13,3,2,1,2,1,MacCormac College,www.maccormac.edu
22,12,3,8,2,1,MacMurray College,www.mac.edu
24,0,4,18,2,1,McCormick Theological Seminary,www.mccormick.edu
9,1,2,3,1,1,McHenry County College,www.mchenry.edu
18,13,4,11,2,1,McKendree University,https://www.mckendree.edu
24,0,4,18,2,1,Meadville Lombard Theological School,www.meadville.edu
26,5,4,6,2,1,Methodist College,www.methodistcol.edu
22,5,3,6,3,0,Midstate College,www.midstate.edu
22,13,4,11,2,1,Millikin University,https://www.millikin.edu
21,12,3,11,2,1,Monmouth College,www.monmouthcollege.edu
24,13,4,11,2,1,Moody Bible Institute,https://www.moody.edu
9,2,2,4,1,1,Moraine Valley Community College,www.morainevalley.edu
11,4,2,1,2,1,Morrison Institute of Technology,www.morrisontech.edu
5,1,2,3,1,1,Morton College,www.morton.edu
-2,-2,1,-2,3,1,Mr John's School of Cosmetology Esthetics & Nails-Decatur,www.mrjohns.com
17,7,4,12,2,1,National Louis University,www.nl.edu
26,5,4,7,2,1,National University of Health Sciences,https://www.nuhs.edu
-2,-2,1,-2,3,1,Niles School of Cosmetology,nilesbeautyschool.com
19,15,4,11,2,1,North Central College,northcentralcollege.edu
18,13,4,11,2,1,North Park University,www.northpark.edu
24,0,4,18,2,1,Northern Baptist Theological Seminary,www.seminary.edu
16,13,4,16,1,1,Northern Illinois University,www.niu.edu
15,14,4,16,2,1,Northwestern University,www.northwestern.edu
18,5,4,12,1,1,Northeastern Illinois University,www.neiu.edu/
2,1,2,3,1,1,Oakton Community College,www.oakton.edu
-2,-2,1,-2,3,1,Oehrlein School of Cosmetology,oehrleinschool.com
18,13,4,14,2,1,Olivet Nazarene University,www.olivet.edu
8,2,2,3,1,1,Parkland College,https://www.parkland.edu/
6,1,2,3,1,1,Prairie State College,www.prairiestate.edu
21,12,3,8,2,1,Principia College,www.principiacollege.edu
-2,-2,1,-2,3,1,Professional's Choice Hair Design Academy,www.pchairdesign.com
22,13,4,8,2,1,Quincy University,www.quincy.edu
9,2,2,2,1,1,Rend Lake College,www.rlc.edu
9,1,2,2,1,1,Richland Community College,www.richland.edu
19,13,4,9,2,1,Robert Morris University Illinois,https://robertmorris.edu/
4,2,2,3,1,1,Rock Valley College,www.rockvalleycollege.edu
8,2,2,1,3,1,Madison Media Institute-Rockford Career College,www.rockfordcareercollege.edu
20,13,4,10,2,1,Rockford University,www.rockford.edu
17,13,4,13,2,1,Roosevelt University,www.roosevelt.edu
18,13,4,10,2,1,Dominican University,www.dom.edu/
25,7,4,9,2,1,Rush University,WWW.RUSHU.RUSH.EDU
26,7,4,6,2,1,Saint Francis Medical Center College of Nursing,www.sfmccon.edu/
17,13,4,10,2,1,University of St Francis,www.stfrancis.edu
26,11,3,6,2,1,St. John's College-Department of Nursing,https://www.sjcs.edu/
18,13,4,12,2,1,Saint Xavier University,https://WWW.SXU.EDU
18,9,4,13,1,1,University of Illinois at Springfield,www.uis.edu
9,2,2,2,1,1,Sauk Valley Community College,www.svcc.edu
6,2,2,2,1,1,Shawnee Community College,www.shawneecc.edu
23,7,3,9,2,1,Saint Augustine College,www.staugustine.edu
24,0,4,18,2,1,University of Saint Mary of the Lake,www.usml.edu
9,1,2,2,1,1,Southeastern Illinois College,www.sic.edu
-2,-2,1,-2,2,1,National Latino Education Institute,www.nlei.org
24,0,4,18,2,1,Spertus College,www.spertus.edu
3,2,2,2,1,1,Spoon River College,www.src.edu
26,11,4,6,2,1,Saint Anthony College of Nursing,https://www.sacn.edu
-2,-2,1,-2,3,1,Educators of Beauty College of Cosmetology-Sterling,www.educatorsofbeauty.com
16,13,4,16,1,1,Southern Illinois University-Carbondale,www.siu.edu
17,13,4,16,1,1,Southern Illinois University-Edwardsville,www.siue.edu
7,4,2,1,3,1,Taylor Business Institute,www.tbiil.edu
24,12,3,8,2,1,Telshe Yeshiva-Chicago,https://telsheyeshivachicago.com
6,1,2,3,1,1,South Suburban College,www.ssc.edu
-2,-2,1,-2,3,1,Tri-County Beauty Academy,tcbacademy.net
22,13,4,11,2,1,Trinity Christian College,www.trnty.edu
17,9,4,10,2,1,Trinity International University-Illinois,www.tiu.edu
6,1,2,4,1,1,Triton College,www.triton.edu
-2,-2,1,-2,3,1,University of Spa & Cosmetology Arts,www.uscart.com
32,12,4,6,2,1,VanderCook College of Music,www.vandercook.edu
9,1,2,4,1,1,Waubonsee Community College,https://www.waubonsee.edu
26,7,4,6,2,1,Resurrection University,www.resu.edu
18,13,4,14,1,1,Western Illinois University,www.wiu.edu
21,14,4,11,2,1,Wheaton College,www.wheaton.edu
3,1,2,4,1,1,William Rainey Harper College,https://www.harpercollege.edu/index.php
1,3,2,1,2,1,Ancilla College,https://www.ancilla.edu/
19,10,4,11,2,1,Anderson University,https://anderson.edu
16,12,4,16,1,1,Ball State University,www.bsu.edu
20,11,4,11,2,1,Bethel College-Indiana,www.betheluniversity.edu
18,14,4,14,2,1,Butler University,www.butler.edu
20,7,4,6,2,1,Calumet College of Saint Joseph,www.ccsj.edu
24,0,4,18,2,1,Christian Theological Seminary,www.cts.edu
13,2,2,1,3,1,College of Court Reporting Inc,www.ccr.edu
24,0,4,18,2,1,Concordia Theological Seminary,www.ctsfw.edu
-2,-2,1,-2,3,1,Tricoci University of Beauty Culture-Highland,www.tricociuniversity.edu
21,14,3,11,2,1,DePauw University,www.depauw.edu
-2,-2,1,-2,3,1,Don Roberts School of Hair Design,www.donrobertsspaschool.com
-2,-2,1,-2,3,0,Don Roberts Beauty School,www.donrobertsbeautyschool.com
21,14,4,11,2,1,Earlham College,www.earlham.edu
20,12,4,11,2,1,University of Evansville,www.evansville.edu/
21,12,4,8,2,1,Franklin College,www.franklincollege.edu
22,13,4,8,2,1,Goshen College,www.goshen.edu
19,12,4,11,2,1,Grace College and Theological Seminary,www.grace.edu
21,14,3,11,2,1,Hanover College,www.hanover.edu
-2,-2,1,-2,3,1,J Michael Harrold Beauty Academy,harroldbeautyacademy.com
22,12,3,8,2,1,Holy Cross College,www.hcc-nd.edu
-2,-2,1,-2,3,1,PJ's College of Cosmetology-Clarksville,GOTOPJS.COM
20,12,4,11,2,1,Huntington University,www.huntington.edu
6,1,2,5,1,1,Ivy Tech Community College,www.ivytech.edu
18,9,4,12,1,1,Purdue University Fort Wayne,www.pfw.edu
16,13,4,15,1,1,Indiana University-Purdue University-Indianapolis,www.iupui.edu
17,12,4,13,2,1,University of Indianapolis,uindy.edu
19,7,4,12,2,1,Indiana Institute of Technology,www.indianatech.edu
18,13,4,13,1,1,University of Southern Indiana,www.usi.edu
17,11,4,16,1,1,Indiana State University,https://www.indstate.edu
22,11,4,9,1,1,Indiana University-Kokomo,www.iuk.edu
19,7,4,12,1,1,Indiana University-South Bend,https://iusb.edu/
15,14,4,16,1,1,Indiana University-Bloomington,www.indiana.edu/
20,7,4,12,1,1,Indiana University-Northwest,www.iun.edu
19,7,4,12,1,1,Indiana University-Southeast,https://ius.edu/
20,7,4,9,1,1,Indiana University-East,www.iue.edu/
23,13,3,8,3,1,International Business College-Fort Wayne,www.ibcfortwayne.edu
7,4,2,1,3,1,International Business College-Indianapolis,www.ibcindianapolis.edu
-2,-2,1,-2,3,1,Knox Beauty College,www.kbc.edu
-2,-2,1,-2,3,1,Tricoci University of Beauty Culture-Lafayette,www.tricociuniversity.edu
-2,-2,1,-2,3,1,Empire Beauty School-Indianapolis,www.empire.edu
11,4,2,2,3,1,Lincoln College of Technology-Indianapolis,www.lincolntech.edu/campus/indianapolis-in
22,12,4,11,2,1,Manchester University,www.manchester.edu
19,13,4,10,2,1,Marian University,www.marian.edu
20,12,4,11,2,1,Indiana Wesleyan University-Marion,https://www.indwes.edu
22,7,4,6,2,1,Martin University,www.martin.edu
24,0,4,18,2,1,Anabaptist Mennonite Biblical Seminary,www.ambs.edu
32,10,3,6,2,1,Mid-America College of Funeral Service,www.mid-america.edu
-2,-2,1,-2,3,1,West Michigan College of Barbering and Beauty,westmichigancollegeofbarberingandbeauty.com
15,14,4,17,2,1,University of Notre Dame,www.nd.edu
22,11,4,8,2,1,Oakland City University,www.oak.edu
-2,-2,1,-2,3,1,PJ's College of Cosmetology-Richmond,GOTOPJS.COM
-2,-2,1,-2,3,1,Ravenscroft Beauty College,ravenscroftcollege.com
-2,-2,1,-2,3,1,Rogers Academy of Hair Design,rogershair.com
27,14,4,11,2,1,Rose-Hulman Institute of Technology,https://www.rose-hulman.edu
18,13,4,9,2,1,University of Saint Francis-Fort Wayne,www.sf.edu
20,7,4,7,2,1,Saint Mary-of-the-Woods College,www.smwc.edu
21,14,4,11,2,1,Saint Mary's College,www.saintmarys.edu
24,0,4,18,2,1,Saint Meinrad School of Theology,www.saintmeinrad.edu
-2,-2,1,-2,2,1,Saint Elizabeth School of Nursing,www.steson.org
22,14,4,11,2,1,Taylor University,https://www.taylor.edu
19,12,4,11,2,1,Trine University,www.trine.edu
17,15,4,14,2,1,Valparaiso University,https://www.valpo.edu
-2,-2,1,-2,3,1,Vincennes Beauty College,vincennesbeautycollege.com
14,6,3,13,1,1,Vincennes University,https://www.vinu.edu
21,14,3,8,2,1,Wabash College,www.wabash.edu
26,7,4,6,2,1,Allen College,www.allencollege.edu
22,7,4,7,2,1,Briar Cliff University,www.briarcliff.edu
19,13,4,11,2,1,Buena Vista University,https://www.bvu.edu
-2,-2,1,-2,3,1,Capri College-Dubuque,www.capricollege.edu
-2,-2,1,-2,3,1,Capri College-Cedar Rapids,www.capricollege.edu
21,12,3,11,2,1,Central College,www.central.edu
17,13,4,8,2,1,Clarke University,www.clarke.edu
21,14,3,11,2,1,Coe College,www.coe.edu
21,14,3,11,2,1,Cornell College,www.cornellcollege.edu
-2,-2,1,-2,3,0,Iowa School of Beauty-Marshalltown,iowaschoolofbeauty.com
3,1,2,5,1,1,Des Moines Area Community College,www.dmacc.edu
24,11,3,8,2,1,Divine Word College,www.dwci.edu
22,14,4,11,2,1,Dordt College,www.dordt.edu
17,14,4,14,2,1,Drake University,www.drake.edu
19,11,4,10,2,1,University of Dubuque,www.dbq.edu
1,3,2,2,1,1,Ellsworth Community College,https://ecc.iavalley.edu/
24,12,3,8,2,1,Emmaus Bible College,www.emmaus.edu
6,1,2,3,1,1,Eastern Iowa Community College District,www.eicc.edu
24,12,4,8,2,1,Faith Baptist Bible College and Theological Seminary,https://www.faith.edu
-2,-2,1,-2,3,1,Faust Institute of Cosmetology-Storm Lake,www.faustinstitute.com
18,11,4,11,2,1,Graceland University-Lamoni,www.graceland.edu
22,11,4,11,2,1,Grand View University,www.grandview.edu
21,14,3,11,2,1,Grinnell College,www.grinnell.edu
22,5,4,6,1,0,Purdue University Global-Mason City,https://www.purdueglobal.edu/campus-locations/mason-city-iowa/
22,5,4,6,1,1,Purdue University Global-Cedar Rapids,https://www.purdueglobal.edu/campus-locations/cedar-rapids-iowa/
28,10,3,6,3,1,Hamilton Technical College,www.hamiltontechcollege.edu
9,2,2,3,1,1,Hawkeye Community College,www.hawkeyecollege.edu
-2,-2,1,-2,3,1,American Hair Academy,americanhairacademy.com
6,2,2,3,1,1,Indian Hills Community College,www.indianhills.edu
6,2,2,3,1,1,Iowa Central Community College,www.iowacentral.edu
6,2,2,2,1,1,Iowa Lakes Community College,www.iowalakes.edu
-2,-2,1,-2,2,1,UnityPoint Health-Des Moines School of Radiologic Technology,www.unitypoint.org/desmoines/radtech
-2,-2,1,-2,3,1,American College of Hairstyling-Des Moines,www.americancollegeofhair.com
-2,-2,1,-2,3,1,Iowa School of Beauty-Des Moines,iowaschoolofbeauty.com
15,15,4,16,1,1,Iowa State University,www.iastate.edu
22,10,3,8,2,1,Iowa Wesleyan University,https://www.iw.edu
6,2,2,3,1,1,Iowa Western Community College,www.iwcc.edu/
15,14,4,16,1,1,University of Iowa,www.uiowa.edu
6,1,2,4,1,1,Kirkwood Community College,www.kirkwood.edu
-2,-2,1,-2,3,1,La James International College-Cedar Falls,www.ljic.edu
-2,-2,1,-2,3,1,La James International College-Johnston,www.ljic.edu
-2,-2,1,-2,3,1,La James College of Hairstyling and Cosmetology,www.lajames.edu
-2,-2,1,-2,3,1,La James International College-Ft Dodge,www.ljic.edu
22,12,4,11,2,1,Loras College,www.loras.edu
21,14,3,11,2,1,Luther College,www.luther.edu
18,11,4,11,2,1,Maharishi University of Management,https://www.mum.edu
6,1,2,2,1,1,Marshalltown Community College,https://mcc.iavalley.edu
26,9,3,6,2,1,Mercy College of Health Sciences,www.mchs.edu
18,12,4,11,2,1,Morningside College,https://www.morningside.edu
19,9,4,10,2,1,Mount Mercy University,www.mtmercy.edu
18,11,4,15,3,1,Ashford University,www.ashford.edu
6,2,2,2,1,1,North Iowa Area Community College,www.niacc.edu
18,13,4,17,1,1,University of Northern Iowa,www.uni.edu
22,12,4,11,2,1,Northwestern College,https://www.nwciowa.edu/
9,1,2,3,1,1,Northeast Iowa Community College,www.nicc.edu
9,1,2,2,1,1,Northwest Iowa Community College,www.nwicc.edu
25,0,4,18,2,1,Des Moines University-Osteopathic Medical Center,www.dmu.edu
-2,-2,1,-2,3,1,Iowa School of Beauty-Ottumwa,iowaschoolofbeauty.com
26,11,4,11,2,1,Palmer College of Chiropractic,www.palmer.edu
-2,-2,1,-2,3,1,PCI Academy-Ames,www.PCI-Academy.com
18,13,4,11,2,1,Saint Ambrose University,www.sau.edu
26,5,3,6,2,1,St Luke's College,www.stlukescollege.edu
-2,-2,1,-2,3,1,La James International College-Davenport,www.ljic.edu
-2,-2,1,-2,3,1,La James International College-Iowa City,www.ljic.edu
21,13,4,11,2,1,Simpson College,www.simpson.edu
6,2,2,2,1,1,Southeastern Community College,www.scciowa.edu
6,2,2,2,1,1,Southwestern Community College,www.swcciowa.edu
-2,-2,1,-2,3,1,Capri College-Davenport,www.capricollege.edu
-2,-2,1,-2,3,1,Iowa School of Beauty-Sioux City,iowaschoolofbeauty.com
-2,-2,1,-2,3,1,E Q School of Hair Design,www.eqschool.net
18,5,4,12,2,1,Upper Iowa University,https://www.uiu.edu
19,7,4,10,3,1,Waldorf University,www.waldorf.edu
21,12,3,11,2,1,Wartburg College,www.wartburg.edu
24,0,4,18,2,1,Wartburg Theological Seminary,https://www.wartburgseminary.edu
-2,-2,1,-2,3,1,The Salon Professional Academy-Cedar Falls,tspacedarfalls.com
9,1,2,3,1,1,Western Iowa Tech Community College,https://www.witcc.edu
22,11,4,11,2,1,William Penn University,www.wmpenn.edu
2,1,2,2,1,1,Allen County Community College,www.allencc.edu
17,9,4,10,2,1,Baker University,https://www.bakeru.edu
3,1,2,2,1,1,Barton County Community College,www.bartonccc.edu
22,14,4,11,2,1,Benedictine College,www.benedictine.edu
22,11,3,8,2,1,Bethany College,https://www.bethanylb.edu
22,13,3,8,2,1,Bethel College-North Newton,www.bethelks.edu
1,2,2,4,1,1,Butler Community College,www.butlercc.edu/
22,11,3,7,2,1,Central Christian College of Kansas,www.centralchristian.edu
3,2,2,2,1,1,Cloud County Community College,https://www.cloud.edu
3,2,2,2,1,1,Coffeyville Community College,www.coffeyville.edu
6,2,2,2,1,1,Colby Community College,www.colbycc.edu
1,2,2,3,1,1,Cowley County Community College,www.cowley.edu
6,2,2,2,1,1,Dodge City Community College,www.dc3.edu
23,7,3,6,2,1,Donnelly College,donnelly.edu
18,13,4,12,1,1,Emporia State University,www.emporia.edu
9,1,2,2,1,1,Flint Hills Technical College,www.fhtc.edu
18,5,4,12,1,1,Fort Hays State University,www.fhsu.edu
24,9,4,7,2,1,Barclay College,www.barclaycollege.edu
18,13,4,10,2,1,Friends University,www.friends.edu
6,2,2,2,1,1,Fort Scott Community College,www.fortscott.edu
6,2,2,2,1,1,Garden City Community College,www.gcccks.edu
33,11,3,8,1,1,Haskell Indian Nations University,www.haskell.edu
-2,-2,1,-2,3,1,Hays Academy of Hair Design,www.haysacademy.com
23,10,3,8,2,1,Hesston College,www.hesston.edu
3,1,2,2,1,1,Highland Community College,www.highlandcc.edu
6,1,2,3,1,1,Hutchinson Community College,www.hutchcc.edu
3,2,2,2,1,1,Independence Community College,www.indycc.edu
3,1,2,5,1,1,Johnson County Community College,www.jccc.edu
26,10,3,6,3,1,Concorde Career College-Kansas City,https://www.concorde.edu/campus/kansas-city-missouri
5,1,2,3,1,1,Kansas City Kansas Community College,www.kckcc.edu
24,11,3,8,2,1,Kansas Christian College,www.kansaschristian.edu
15,15,4,16,1,1,University of Kansas,https://ku.edu
18,13,4,10,2,1,Newman University,www.newmanu.edu
-2,-2,1,-2,3,1,Old Town Barber College-Wichita,www.otbcollege.com
15,11,4,16,1,1,Kansas State University,www.k-state.edu
22,13,4,8,2,1,Kansas Wesleyan University,www.kwu.edu
-2,-2,1,-2,1,1,Washburn Institute of Technology,www.washburntech.edu
8,1,2,2,1,1,Labette Community College,www.labette.edu
9,1,2,2,1,1,Manhattan Area Technical College,https://manhattantech.edu
24,10,3,8,2,1,Manhattan Christian College,www.mccks.edu
22,13,3,8,2,1,McPherson College,www.mcpherson.edu
19,11,4,11,2,1,MidAmerica Nazarene University,www.mnu.edu
9,1,2,2,1,1,Neosho County Community College,www.neosho.edu
8,3,2,2,1,1,North Central Kansas Technical College,www.ncktc.edu
9,2,2,2,1,1,Northwest Kansas Technical College,www.nwktc.edu
22,11,4,8,2,1,Ottawa University-Ottawa,www.ottawa.edu
22,7,4,6,2,1,Ottawa University-Kansas City,www.ottawa.edu
18,13,4,13,1,1,Pittsburg State University,www.pittstate.edu
6,2,2,2,1,1,Pratt Community College,www.prattcc.edu
19,13,4,10,2,1,University of Saint Mary,www.stmary.edu
9,1,2,1,1,1,Salina Area Technical College,www.salinatech.edu
7,2,2,2,1,1,Seward County Community College,www.sccc.edu
19,5,4,7,2,1,Southwestern College,www.sckans.edu
22,10,3,8,2,1,Sterling College,www.sterling.edu
22,11,4,8,2,1,Tabor College,tabor.edu/
17,7,4,12,1,1,Washburn University,www.washburn.edu
9,1,2,3,1,1,Wichita State University-Campus of Applied Sciences and Technology,www.wsutech.edu
16,9,4,15,1,1,Wichita State University,www.wichita.edu
11,4,2,2,3,1,Wichita Technical Institute,www.wti.edu
22,10,3,8,2,1,Alice Lloyd College,www.alc.edu
20,13,4,11,2,1,Asbury University,www.asbury.edu
24,0,4,18,2,1,Asbury Theological Seminary,www.asburyseminary.edu
7,2,2,2,1,1,Ashland Community and Technical College,https://ashland.kctcs.edu
-2,-2,1,-2,3,1,Barrett and Company School of Hair Design,https://barrett.edu/
17,14,4,13,2,1,Bellarmine University,www.bellarmine.edu
21,14,3,11,2,1,Berea College,https://www.berea.edu
-2,-2,1,-2,3,1,PJ's College of Cosmetology-Bowling Green,GOTOPJS.COM
5,2,2,3,1,1,Southcentral Kentucky Community and Technical College,https://southcentral.kctcs.edu
22,9,4,7,2,1,Brescia University,www.brescia.edu
18,11,4,13,2,1,Campbellsville University,www.campbellsville.edu
4,2,2,4,1,1,Bluegrass Community and Technical College,https://bluegrass.kctcs.edu/
21,14,3,11,2,1,Centre College,https://www.centre.edu
24,5,3,6,2,1,Clear Creek Baptist Bible College,www.ccbbc.edu/
-2,-2,1,-2,3,1,Paul Mitchell the School-Lexington,paulmitchell.edu/lexington
26,5,3,9,3,1,Galen College of Nursing-Louisville,www.galencollege.edu/louisville
17,13,4,14,2,1,University of the Cumberlands,www.ucumberlands.edu
18,13,4,16,1,1,Eastern Kentucky University,www.eku.edu
6,1,2,3,1,1,Elizabethtown Community and Technical College,https://elizabethtown.kctcs.edu/
26,0,4,18,2,1,Frontier Nursing University,www.frontier.edu/
21,12,4,11,2,1,Georgetown College,www.georgetowncollege.edu
-2,-2,1,-2,3,1,PJ's College of Cosmetology-Glasgow,GOTOPJS.COM
6,1,2,2,1,1,Hazard Community and Technical College,https://hazard.kctcs.edu/
-2,-2,1,-2,3,1,Paul Mitchell the School-Louisville,louisville.paulmitchell.edu
5,1,2,2,1,1,Henderson Community College,https://henderson.kctcs.edu/
2,1,2,2,1,1,Hopkinsville Community College,https://hopkinsville.kctcs.edu/index.aspx
2,1,2,4,1,1,Jefferson Community and Technical College,https://jefferson.kctcs.edu
-2,-2,1,-2,3,1,Summit Salon Academy-Lexington,www.summitsalonacademy.org/
14,5,3,6,3,1,American National University-Lexington,https://www.an.edu/locations/
24,11,3,8,2,1,Kentucky Mountain Bible College,www.kmbc.edu/
22,11,4,10,1,1,Kentucky State University,www.kysu.edu
22,13,3,8,2,1,Kentucky Wesleyan College,https://kwc.edu/
15,14,4,16,1,1,University of Kentucky,www.uky.edu
22,13,4,8,2,1,Kentucky Christian University,www.kcu.edu
24,0,4,18,2,1,Lexington Theological Seminary,www.lextheo.edu
18,11,4,11,2,1,Lindsey Wilson College,www.lindsey.edu
15,15,4,16,1,1,University of Louisville,www.louisville.edu
24,0,4,18,2,1,Louisville Presbyterian Theological Seminary,www.lpts.edu
6,1,2,2,1,1,Madisonville Community College,https://madisonville.kctcs.edu/
8,2,2,3,1,1,Maysville Community and Technical College,https://maysville.kctcs.edu
20,9,4,10,2,1,Midway University,www.midway.edu
18,13,4,14,1,1,Morehead State University,www.moreheadstate.edu
18,13,4,13,1,1,Murray State University,www.murraystate.edu
5,1,2,3,1,1,Gateway Community and Technical College,https://gateway.kctcs.edu/index.aspx
17,13,4,15,1,1,Northern Kentucky University,www.nku.edu
6,1,2,3,1,1,West Kentucky Community and Technical College,https://westkentucky.kctcs.edu
21,11,4,11,2,1,University of Pikeville,www.upike.edu
5,2,2,3,1,1,Big Sandy Community and Technical College,https://bigsandy.kctcs.edu/
-2,-2,1,-2,3,1,Empire Beauty School-Chenoweth,www.empire.edu
-2,-2,1,-2,3,1,Empire Beauty School-Elizabethtown,www.empire.edu
-2,-2,1,-2,3,1,Empire Beauty School-Dixie,www.empire.edu
-2,-2,1,-2,3,1,Empire Beauty School-Florence,www.empire.edu
7,2,2,3,1,1,Somerset Community College,https://somerset.kctcs.edu/about/index.aspx
2,2,2,3,1,1,Southeast Kentucky Community and Technical College,https://southeast.kctcs.edu
24,9,4,10,2,1,The Southern Baptist Theological Seminary,www.sbts.edu
17,13,4,10,2,1,Spalding University,https://www.spalding.edu
18,5,4,9,3,1,Sullivan University,www.sullivan.edu
19,12,4,10,2,1,Thomas More College,www.thomasmore.edu
21,10,3,8,2,1,Transylvania University,www.transy.edu
-2,-2,1,-2,3,0,Trend Setters' Academy of Beauty Culture-Louisville,www.trendsettersabc.com
20,11,4,10,2,1,Union College,www.unionky.edu
17,13,4,16,1,1,Western Kentucky University,www.wku.edu
13,2,2,2,1,1,Central Louisiana Technical Community College,www.cltcc.edu
-2,-2,1,-2,3,1,Ayers Career College,www.ayers.edu
-2,-2,1,-2,2,1,Baton Rouge General Medical Center-School of Nursing,https://www.brgeneral.org/medical-education/school-of-nursing/
11,3,2,1,3,1,Baton Rouge School of Computers,www.brsc.edu
4,2,2,3,1,1,Bossier Parish Community College,www.bpcc.edu
21,14,4,8,2,1,Centenary College of Louisiana,www.centenary.edu
-2,-2,1,-2,3,1,Cloyd's Beauty School 1 Inc,cloydsbeautyschool.com
-2,-2,1,-2,3,1,Crescent City Bartending School,crescent.edu
-2,-2,1,-2,3,1,D'Jay's Institute of Cosmetology and Esthiology,www.djaysschoolofbeauty.com
4,1,2,4,1,1,Delgado Community College,WWW.DCC.EDU
-2,-2,1,-2,3,1,Avery James School of Cosmetology,averyjamesschool.com
-2,-2,1,-2,3,1,Denham Springs Beauty School,www.dsbeautyschool.org
21,10,3,11,2,1,Dillard University,www.dillard.edu
9,1,2,2,1,1,Nunez Community College,www.nunez.edu
18,15,4,14,1,1,Grambling State University,www.gram.edu
-2,-2,1,-2,3,1,Guy's Shreveport Academy of Cosmetology Inc,guysacademy.com
11,4,2,2,3,1,ITI Technical College,www.iticollege.edu
-2,-2,1,-2,3,1,John Jay Beauty College,www.johnjaybeauty.com
25,7,4,10,1,1,Louisiana State University Health Sciences Center-New Orleans,www.lsuhsc.edu
21,7,3,9,1,1,Louisiana State University-Alexandria,www.lsua.edu
15,14,4,15,1,1,Louisiana State University and Agricultural & Mechanical College,www.lsu.edu
4,2,2,2,1,1,Louisiana State University-Eunice,www.lsue.edu
18,9,4,12,1,1,Louisiana State University-Shreveport,www.lsus.edu/
-2,-2,1,-2,3,1,Aveda Institute-Baton Rouge,aisouth.com
-2,-2,1,-2,3,1,Aveda Institute-Lafayette,aisouth.com
-2,-2,1,-2,3,1,Louisiana Academy of Beauty,www.louisianaacademyofbeauty.com
20,13,4,11,2,1,Louisiana College,www.lacollege.edu
-2,-2,1,-2,3,1,Opelousas School of Cosmetology,www.opelousascosmetology.com
16,14,4,16,1,1,Louisiana Tech University,https://www.latech.edu
17,14,4,14,2,1,Loyola University New Orleans,www.loyno.edu
18,12,4,12,1,1,McNeese State University,www.mcneese.edu
16,13,4,13,1,1,University of New Orleans,www.uno.edu
-2,-2,4,-2,2,1,New Orleans Baptist Theological Seminary,www.nobts.edu
18,12,4,13,1,1,Nicholls State University,www.nicholls.edu
17,13,4,13,1,1,University of Louisiana at Monroe,www.ulm.edu
11,2,2,2,1,1,Northwest Louisiana Technical College,www.nwltc.edu
18,9,4,12,1,1,Northwestern State University of Louisiana,www.nsula.edu/
20,9,4,6,2,1,University of Holy Cross,uhcno.edu
26,5,4,6,2,1,Franciscan Missionaries of Our Lady University,www.franu.edu
-2,-2,1,-2,3,1,Pat Goins Benton Road Beauty School,www.patgoins.edu
-2,-2,1,-2,3,1,Celebrity Stylist Beauty School,www.celebritystylistbeautyschool.com
-2,-2,1,-2,3,1,Pineville Beauty School,www.pinevillebeauty.com
-2,-2,1,-2,3,1,Aveda Institute-Covington,aisouth.com
24,11,3,8,2,1,Saint Joseph Seminary College,saintjosephabbey.com/
-2,-2,1,-2,3,0,Vanguard College of Cosmetology-Slidell,paulmitchell.edu/slidell
-2,-2,1,-2,3,1,South Louisiana Beauty College,slbchouma.com
8,2,2,2,1,1,Fletcher Technical Community College,www.fletcher.edu/
8,4,2,1,2,1,Remington College-Lafayette Campus,www.remingtoncollege.edu/louisiana-career-school-overview
11,2,2,3,1,1,SOWELA Technical Community College,www.sowela.edu
-2,-2,1,-2,3,1,Stevensons Academy of Hair Design,www.stevenson-academy.com
18,12,4,15,1,1,Southeastern Louisiana University,www.southeastern.edu
18,11,4,13,1,1,Southern University and A & M College,www.subr.edu
19,11,4,10,1,1,Southern University at New Orleans,www.suno.edu
8,2,2,3,1,1,Southern University at Shreveport,www.susla.edu
16,13,4,15,1,1,University of Louisiana at Lafayette,www.louisiana.edu
9,1,2,3,1,1,Northshore Technical Community College,northshorecollege.edu/
15,14,4,17,2,1,Tulane University of Louisiana,tulane.edu
