ST_FIPS,mean_white,mean_black,tot_white,tot_black,sd_white,sd_black,State,Latitude,Longitude,City,latminus,longminus
31,0.6903727272727272,0.059463636363636364,31702.5019,2017.28,0.12117906659905489,0.038460324302513955,NE,41.5008195,-99.680902,Nebraska,31.5008195,-99.680902
32,0.51092,0.05386,20102.1804,2893.0507,0.20871457064613386,0.026787739732944994,NV,38.502032,-117.0230604,Nevada,28.502032,-117.0230604
33,0.75246,0.06581,68026.88549999999,13801.0821,0.11822294569536361,0.07747787426097853,NH,44.0012306,-71.5799231,New Hampshire,34.0012306,-71.5799231
34,0.44807,0.140295,65366.856,17914.6614,0.1804418935485006,0.10316000589273672,NJ,40.1430058,-74.7311156,New Jersey,30.143005799999997,-74.7311156
35,0.2319,0.0365,8974.055699999999,840.8512,0.10829425962010482,0.022883035929118615,NM,34.1662325,-106.0260685,New Mexico,24.1662325,-106.0260685
36,0.5309797297297297,0.12487972972972973,167322.4118,51093.0108,0.21426201983816784,0.11396181766213392,NY,40.7056258,-73.97968,New York,30.7056258,-73.97968
37,0.5129322580645161,0.2599967741935484,67246.4703,18084.3016,0.24798208723897347,0.2586579046847669,NC,35.2145629,-79.8912675,North Carolina,25.214562899999997,-79.8912675
38,0.5293555555555556,0.028422222222222224,22597.8915,802.4515,0.37098079502553466,0.017072695875123074,ND,47.4678819,-100.3022655,North Dakota,37.4678819,-100.3022655
39,0.6998048780487804,0.11659756097560976,108040.31139999999,13524.141599999999,0.17000145874553474,0.14115150280426503,OH,40.1903624,-82.6692525,Ohio,30.190362399999998,-82.6692525
40,0.5085428571428572,0.06714285714285714,6887.0217,668.2329,0.13790011913389655,0.02860191468782333,OK,35.3097654,-98.7165585,Oklahoma,25.309765400000003,-98.7165585
41,0.64976,0.03609,45276.3502,1735.0055,0.07713068563591709,0.040261215138697,OR,44.1419049,-120.5380993,Oregon,34.1419049,-120.5380993
42,0.6947506493506493,0.09590649350649351,197665.9217,24162.5483,0.14408697631289877,0.10890104191863259,PA,40.9945928,-77.6046984,Pennsylvania,30.9945928,-77.6046984
44,0.6102375,0.054175,21527.9515,2436.8064,0.20863031513386818,0.04248393814137291,RI,41.5827282,-71.5064508,Rhode Island,31.5827282,-71.5064508
45,0.5314705882352941,0.32384705882352943,38415.4233,10021.1278,0.2777075457309044,0.31997028205297257,SC,33.62505,-80.9470381,South Carolina,23.62505,-80.9470381
46,0.6586333333333333,0.023211111111111113,19339.6987,620.0183999999999,0.35115336037122014,0.01719559859705707,SD,44.2126995,-100.2471641,South Dakota,34.2126995,-100.2471641
47,0.5997208333333334,0.22457916666666666,63294.6271,16652.7967,0.28611318827279386,0.29110596902034724,TN,35.830521,-85.9785989,Tennessee,25.830520999999997,-85.9785989
48,0.34175714285714287,0.23005714285714285,136839.943,44245.3193,0.2325463836689173,0.27836869492381655,TX,31.1693363,-100.0768425,Texas,21.1693363,-100.0768425
49,0.68255,0.042475,136639.924,10841.124899999999,0.18325732103871245,0.0497195204551061,UT,39.4997605,-111.547028,Utah,29.4997605,-111.547028
50,0.7347142857142857,0.035128571428571426,15156.515099999999,545.3670000000001,0.12321281627833239,0.03209068994198132,VT,43.8717545,-72.4477828,Vermont,33.8717545,-72.4477828
51,0.5526206896551724,0.21733793103448276,100169.3618,29950.2936,0.24741243671724453,0.2560213571082821,VA,38.0033855,-79.4587861,Virginia,28.0033855,-79.4587861
53,0.5507571428571428,0.04599285714285714,18549.1809,1539.5588,0.1771492144375023,0.033271481534739085,WA,38.8993487,-77.0145665,Washington,28.899348699999997,-77.0145665
54,0.7086153846153846,0.09984615384615385,19061.9671,1954.9602,0.1329450628778284,0.06876551479950561,WV,38.9201705,-80.1816905,West Virginia,28.920170499999998,-80.1816905
55,0.710744,0.075196,97190.9052,5363.1386999999995,0.15390990351501102,0.0772830429870184,WI,44.7862968,-89.8267049,Wisconsin,34.7862968,-89.8267049
56,0.7181,0.0104,7076.1574,102.4816,NA,NA,WY,43.000325,-107.5545669,Wyoming,33.000325,-107.5545669
